"ComponentName","ComponentVendor","ComponentDescription","ComponentHomepageLink","ComponentDownloadLink","ComponentSourceLink","ComponentNeedDescription","ComponentComment","ComponentUsedVersionNumber","ComponentUsedVersionDate","ComponentRestrictedVersionNumber","ComponentRestrictedVersionDate","ComponentRestrictedVersionReason","ComponentVersionDate","ComponentVersionDescription","ComponentVersionComments","ComponentVersionDownloadLink","ComponentVersionHomepageLink","ComponentVersionSourceLink","ComponentVersionLicenseType","ComponentVersionLicenseName","ComponentVersionLicenseFile","ComponentVersionLicenseLink","ComponentVersionUsedPatchDate","ComponentVersionPatchDate","ComponentVersionPatchDescription","ComponentVersionPatchReason","ComponentVersionPatchSolution","ComponentVersionPatchBuild","ComponentVersionPatchComments"
"fop","The Apache Software Foundation","Apache FOP (Formatting Objects Processor) is a print formatter driven by XSL formatting objects (XSL-FO) and an output independent formatter. It is a Java application that reads a formatting object (FO) tree and renders the resulting pages to a specified output. Output formats currently supported include PDF, PS, PCL, AFP, XML (area tree representation), Print, AWT and PNG, and to a lesser extent, RTF and TXT. The primary output target is PDF.","http://xmlgraphics.apache.org/fop/index.html","http://xmlgraphics.apache.org/fop/download.html","http://xmlgraphics.apache.org/fop/download.html","Build the document for Together java base project","","1","2010-07-12","","","","2010-07-12","Apache FOP (Formatting Objects Processor) is a print formatter driven by XSL formatting objects (XSL-FO) and an output independent formatter. It is a Java application that reads a formatting object (FO) tree and renders the resulting pages to a specified output. Output formats currently supported include PDF, PS, PCL, AFP, XML (area tree representation), Print, AWT and PNG, and to a lesser extent, RTF and TXT. The primary output target is PDF.","","http://xmlgraphics.apache.org/fop/download.html","http://xmlgraphics.apache.org/fop/index.html","http://xmlgraphics.apache.org/fop/download.html","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"itext5","1T3XT BVBA","iText is a library that allows you to generate PDF files on the fly.","http://www.itextpdf.com/","http://sourceforge.net/projects/itext/files/iText/","http://sourceforge.net/projects/itext/files/iText/","","","5.1.3","2011-11-11","","","","2011-11-11","iText is a library that allows you to generate PDF files on the fly.","","http://sourceforge.net/projects/itext/files/iText/","http://www.itextpdf.com/","http://sourceforge.net/projects/itext/files/iText/","Open Source","AGPL V3","AGPL-3.0.txt","http://www.mozilla.org/MPL/MPL-1.1.html","","","","","","",""
"javahelp","Oracle","The JavaHelp system is an online help system that developers can use to add online help to their Java platform applications. The JavaHelp system is both a JCP specification (JSR 97) and a reference implementation of that specification. The JavaHelp system open source project includes the source to the reference implementation.","http://javahelp.java.net/","http://download.java.net/javadesktop/javahelp/javahelp2_0_05.zip","","","","2.0_05","2007-10-03","","","","2007-10-03","The JavaHelp system is an online help system that developers can use to add online help to their Java platform applications. The JavaHelp system is both a JCP specification (JSR 97) and a reference implementation of that specification. The JavaHelp system open source project includes the source to the reference implementation.","","http://download.java.net/javadesktop/javahelp/javahelp2_0_05.zip","http://javahelp.java.net/","","Open Source","SUN","SUN.txt","http://download.oracle.com/docs/cd/E17802_01/webservices/webservices/docs/1.5/LICENSE","","","","","","",""
"jeditsyntax","jEdit Syntax Package","The jEdit Syntax Package is a stand-alone syntax highlighting text editor JavaBean.","http://jedit-syntax.sourceforge.net/","http://www.findjar.com/jar/net/sf/jedit-syntax/jedit-syntax/2.2.2/jedit-syntax-2.2.2.jar.html","http://sourceforge.net/projects/jedit-syntax/files/jedit-syntax/","","","2.2.2cvs","2003-11-23","","","","2003-11-23","The jEdit Syntax Package is a stand-alone syntax highlighting text editor JavaBean.","","http://www.findjar.com/jar/net/sf/jedit-syntax/jedit-syntax/2.2.2/jedit-syntax-2.2.2.jar.html","http://jedit-syntax.sourceforge.net/","http://sourceforge.net/projects/jedit-syntax/files/jedit-syntax/","Open Source","Proprietary","MIT.txt","http://www.opensource.org/licenses/mit-license.html","","","","","","",""
"jgraph","JGraph Ltd","JGraph and mxGraph are leading edge graph visualization component product families. They enable software developers to rapidly add complex and professional diagrams to applications in Ajax, Java and Flash.","http://jgraph.com/","http://sourceforge.net/projects/jgraph/files/","http://sourceforge.net/projects/jgraph/files/","","","5.13.0.4","2010-03-31","","","","2010-03-31","JGraph and mxGraph are leading edge graph visualization component product families. They enable software developers to rapidly add complex and professional diagrams to applications in Ajax, Java and Flash.","","http://sourceforge.net/projects/jgraph/files/","http://jgraph.com/","http://sourceforge.net/projects/jgraph/files/","Open Source","BSD 2-Clause","jgraph.txt","http://www.opensource.org/licenses/bsd-license.php","","","","","","",""
"NSIS","Nullsoft","NSIS (Nullsoft Scriptable Install System) is a professional open source system to create Windows installers. It is designed to be as small and flexible as possible and is therefore very suitable for internet distribution.","http://nsis.sourceforge.net/Main_Page","http://nsis.sourceforge.net/Download","http://nsis.sourceforge.net/Download","To create Windows installers","","2.46","2009-12-06","","","","2009-12-06","Some bux were fixed in this version (see more details from http://sourceforge.net/projects/nsis/files/NSIS%202/2.46/RELEASE.html/view)","","http://nsis.sourceforge.net/Download","http://nsis.sourceforge.net/Main_Page","http://nsis.sourceforge.net/Download","Open Source","NSIS","NSIS.txt","http://nsis.sourceforge.net/License","","","","","","",""
"xalan","Apache Software Foundation","Xalan is an XSLT processor for transforming XML documents into HTML, text, or other XML document types.","http://xalan.apache.org/index.html","http://www.apache.org/dyn/closer.cgi/xml/xalan-j","http://www.apache.org/dyn/closer.cgi/xml/xalan-j","Transform XML documents","","2.7.1","2007-11-28","","","","2007-11-28","The serializer now has support for DOM Level 3 serialization (LSSerializer) for an XML parser.","","http://www.apache.org/dyn/closer.cgi/xml/xalan-j","http://xalan.apache.org/index.html","http://www.apache.org/dyn/closer.cgi/xml/xalan-j","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"xerces","Apache Software Foundation","Xerces is a library for parsing, validating and manipulating XML documents.","http://xerces.apache.org/index.html","http://archive.apache.org/dist/xerces/j/","http://archive.apache.org/dist/xerces/j/","Parse, validate and manipulate XML documents","based on xml-commons external 1.4.01","2.11.0","2010-11-30","","","","2010-11-30","This release expands on Xerces' experimental support for XML Schema 1.1 by providing implementations for the simplified complex type restriction rules (also known as subsumption), xs:override and a few other XML Schema 1.1 features.","based on xml-commons external 1.4.01","http://archive.apache.org/dist/xerces/j/","http://xerces.apache.org/index.html","http://archive.apache.org/dist/xerces/j/","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"xml-commons","Apache Software Foundation","xml-commons is focussed on common code and guidelines for xml projects. The first focus will be to organize and have common packaging for the various externally-defined standards code relating to XML - things like the DOM, SAX, and JAXP interfaces.","http://xml.apache.org/commons/index.html","http://archive.apache.org/dist/xml/commons/binaries/","http://archive.apache.org/dist/xml/commons/binaries/","xml-commons for http://xml.apache.org/ subproject's use","xml-commons for http://xml.apache.org/ subproject's use","1.4.01","2009-12-15","","","","2009-12-15","See changes details from http://xml.apache.org/commons/changes.html","xml-commons for http://xml.apache.org/ subproject's use","http://archive.apache.org/dist/xml/commons/binaries/","http://xml.apache.org/commons/index.html","http://archive.apache.org/dist/xml/commons/binaries/","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"xmlgraphics-commons","Apache Software Foundation","Apache XML Graphics Commons is a library that consists of several reusable components used by Apache Batik and Apache FOP. Many of these components can easily be used separately outside the domains of SVG and XSL-FO. You will find components such as a PDF library, an RTF library, Graphics2D implementations that let you generate PDF & PostScript files, and much more.","http://xmlgraphics.apache.org/commons/index.html","http://xmlgraphics.apache.org/commons/download.html","http://xmlgraphics.apache.org/commons/download.html","Used with FOP component to build document of Together java base project","Used XML Graphics Commons that comes with FOP","1.4","2010-07-07","","","","2010-07-07","This release adds the option to generate smaller PostScript files, support for the AdobeStandardCyrillic encoding, RefinedImageFlavor, TexturePaint support for PSGraphics2D (PostScript tiling patterns), improvements to the XMP framework, optimization for PostScript state handling in (E)PSDocumentGraphics2D, and more. In addition it contains a number of bug fixes.","Used with FOP component to build document of Together java base project","http://xmlgraphics.apache.org/commons/download.html","http://xmlgraphics.apache.org/commons/index.html","http://xmlgraphics.apache.org/commons/download.html","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
